Time in milliSecond	x	y	z
9467689	-2.015811	9.629586	2.329079
9467698	-1.988571	9.615966	1.934089
9467709	-2.029432	9.697687	1.675303
9467719	-2.029432	9.738548	1.688923
9467729	-1.920469	9.901993	1.743405
9467740	-1.784266	9.997335	1.879608
9467750	-1.607201	10.038197	2.111154
9467762	-1.362035	10.174399	2.220117
9467771	-0.994285	10.446807	2.547005
9467782	-0.830841	10.54215	2.138395
9467793	-0.667397	10.651112	1.797886
9467804	-0.476712	10.828176	1.865988
9467816	-0.354129	11.073342	2.73769
9467826	-0.354129	11.059722	4.045243
9467838	-0.40861	11.059722	5.352797
9467850	-0.190685	10.800936	6.333462
9467860	0.027241	10.419566	6.183638
9467871	0.367749	10.051817	5.189353
9467881	0.708258	9.942854	3.731975
9467891	1.062387	9.942854	2.683208
9467904	1.116868	9.929234	2.056673
9467914	0.967045	10.038197	1.988571
9467924	0.612916	10.215261	2.465283
9467934	0.136203	10.283362	3.159921
9467944	-0.163444	10.310603	3.800077
9467954	-0.449471	10.283362	3.949901
9467965	-0.912563	10.051817	4.058864
9467975	-1.212211	9.901993	4.154206
9467985	-1.402896	9.752169	4.249548
9467996	-1.484618	9.479762	4.453854
9468006	-1.511859	9.180115	4.453854
9468016	-1.225831	8.853226	4.113345
9468026	-0.953424	8.322033	3.568531
9468038	-0.653777	7.8317	3.268883
9468048	-0.354129	7.504812	2.75131
9468059	-0.149824	7.246025	2.547005
9468071	0.122583	7.0281	2.35632
9468082	0.326888	6.932757	2.138395
9468094	0.354129	6.905516	1.988571
9468105	0.354129	7.150682	1.57996
9468115	0.190685	7.218784	1.334794
9468125	0.054481	7.463951	1.116868
9468137	0.054481	7.913422	0.885323
9468147	-0.095342	8.158588	1.021526
9468157	-0.190685	8.444615	1.293933
9468168	-0.367749	8.812365	1.838747
9468178	-0.490333	9.030291	2.056673
9468188	-0.449471	9.112013	2.097533
9468198	-0.38137	9.220976	2.247357
9468209	-0.367749	9.302697	2.397181
9468218	-0.313268	9.493382	2.601486
9468228	-0.272407	9.738548	2.655968
9468238	-0.231546	9.983715	2.833032
9468250	-0.367749	10.283362	3.159921
9468259	-0.463092	10.54215	3.323365
9468270	-0.585675	10.705593	3.595772
9468280	-0.667397	10.814556	3.650253
9468290	-0.544814	10.746454	3.704735
9468300	-0.449471	10.637491	3.582151
9468310	-0.231546	10.664732	3.405087
9468321	0.136203	10.691973	2.901134
9468331	0.040861	10.732834	2.696829
9468341	0.095342	10.882658	2.383561
9468351	0.095342	10.93714	2.247357
9468363	-0.122583	11.018862	2.206496
9468372	-0.122583	10.95076	2.043052
9468382	-0.204305	10.896278	1.893228
9468393	-0.422231	10.787315	1.757025
9468403	-0.599295	10.760075	1.498238
9468414	-0.967045	10.61025	1.348414
9468424	-1.430137	10.54215	1.15773
9468435	-2.097533	10.787315	1.675303
9468444	-2.574246	11.086963	2.860273
9468455	-3.173541	11.182305	3.800077
9468467	-3.759216	11.155065	4.658159
9468476	-3.840938	10.869038	4.848844
9468486	-3.500429	10.256122	4.603678
9468497	-3.159921	9.724928	4.181447
9468507	-2.696829	9.289077	3.718355
9468517	-2.410802	8.989429	3.51405
9468527	-2.138395	8.921328	3.255263
9468540	-1.934089	8.730643	2.914754
9468550	-1.675303	8.349273	2.601486
9468560	-1.539099	8.104107	2.288218
9468570	-1.348414	7.858941	1.920469
9468580	-1.334794	7.709117	1.539099
9468590	-1.17135	7.463951	1.15773
9468601	-1.103248	7.286886	0.939804
9468611	-1.035146	7.150682	0.858082
9468621	-0.898943	7.082581	0.640156
9468631	-0.762739	7.0281	0.544814
9468642	-0.667397	7.123442	0.503953
9468652	-0.612916	7.259645	0.476712
9468661	-0.544814	7.382228	0.78998
9468672	-0.572055	7.641015	0.967045
9468683	-0.599295	7.749978	1.089628
